SYNTHETIC SAMPLE - NOT A REAL BANK STATEMENT,,,,,,
MR SYNTHETIC CUSTOMER,,,,Account Branch :,SAMPLE BRANCH,
1 SAMPLE STREET,,,,City :,HYDERABAD,
HYDERABAD 500000,,,,Currency :,INR,
,,,,Account No :,XXXXXXXX1234,
,,,,A/C Open Date :,01/01/20,
,,,,Account Status :,Regular,
Statement From :,01/02/2026,To :,31/03/2026,,,
****************,****************,****************,****************,****************,****************,****************
Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
****************,****************,****************,****************,****************,****************,****************
01/02/26,NEFT CR-CITI0100000-ACME TECH PVT LTD-SYNTHETIC CUSTOMER-CITIN26020112345,CITIN26020112345,01/02/26,,"52,000.00","92,000.00"
03/02/26,UPI-SWIGGY-SWIGGY.ORDER@ICICI-ICIC0DC0099-603412345678-PAYMENT FROM PHONE,0000603412345678,03/02/26,450.00,,"91,550.00"
05/02/26,ACH D- TP ACH BAJAJ FINANCE-4567890,0000000000000000,05/02/26,"4,500.00",,"87,050.00"
05/02/26,UPI-SWIGGY-SWIGGY.ORDER@ICICI-ICIC0DC0099-603412345678-REVERSAL,0000603412345678,05/02/26,,450.00,"87,500.00"
07/02/26,UPI-ZOMATO-ZOMATO.ORDER@HDFCBANK-HDFC0000000-603812345601-PAYMENT FROM PHONE,0000603812345601,07/02/26,320.00,,"87,180.00"
10/02/26,UPI-PAYTM-PAYTMQR2810050501@PAYTM-PYTM0123456-604112345678-GROCERIES,0000604112345678,10/02/26,"2,000.00",,"85,180.00"
12/02/26,ATW-512967XXXXXX1234-S1ANH456-HYDERABAD,0000604312340001,12/02/26,"3,000.00",,"82,180.00"
14/02/26,IMPS-604512345602-RAVI KUMAR-SBIN-XXXXXXXX5678-BOOKS,0000604512345602,14/02/26,"1,500.00",,"80,680.00"
16/02/26,UPI-MYNTRA-MYNTRA.PAYU@AXIS-UTIB0000000-604712345678-ORDER 8817,0000604712345678,16/02/26,"1,299.00",,"79,381.00"
20/02/26,POS 512967XXXXXX1234 MORE SUPERMARKET,0000000000000000,20/02/26,"1,245.50",,"78,135.50"
23/02/26,REVERSAL-UPI-PAYTM-PAYTMQR2810050501@PAYTM-GROCERIES,0000604112345678,23/02/26,,"2,000.00","80,135.50"
26/02/26,UPI-MYNTRA-MYNTRA.PAYU@AXIS-UTIB0000000-604712345678-REFUND ORDER RETURN,0000604712345678,26/02/26,,"1,299.00","81,434.50"
01/03/26,NEFT CR-CITI0100000-ACME TECH PVT LTD-SYNTHETIC CUSTOMER-CITIN26030112345,CITIN26030112345,01/03/26,,"52,000.00","133,434.50"
02/03/26,NWD-512967XXXXXX1234-S1CNB123-HYDERABAD,0000606110004321,02/03/26,"5,000.00",,"128,434.50"
05/03/26,ACH D- TP ACH BAJAJ FINANCE-4567890,0000000000000000,05/03/26,"4,500.00",,"123,934.50"
08/03/26,UPI-RAVI KUMAR-9876543210@OKHDFC-HDFC0000000-606712345603-DINNER SPLIT,0000606712345603,08/03/26,,500.00,"124,434.50"
13/03/26,REVERSAL-NWD-512967XXXXXX1234-S1CNB123-HYDERABAD-CASH NOT DISPENSED,0000606110004321,13/03/26,,"5,000.00","129,434.50"
18/03/26,POS 512967XXXXXX1234 DMART HYDERABAD,0000000000000000,18/03/26,899.00,,"128,535.50"
20/03/26,POS REVERSAL 512967XXXXXX1234 DMART HYDERABAD,0000000000000000,20/03/26,,899.00,"129,434.50"
20/03/26,UPI-RAVI KUMAR-9876543210@OKHDFC-HDFC0000000-607912345678-RENT SHARE,0000607912345678,20/03/26,"2,499.00",,"126,935.50"
25/03/26,UPI-JIO-JIO.RECHARGE@SBI-SBIN0000000-608412345604-RECHARGE,0000608412345604,25/03/26,749.00,,"126,186.50"
31/03/26,CREDIT INTEREST CAPITALISED,0000000000000000,31/03/26,,212.00,"126,398.50"
****************,****************,****************,****************,****************,****************,****************
STATEMENT SUMMARY  :-,,,,,,
Opening Balance,,Dr Count,Cr Count,Debits,Credits,Closing Bal
"40,000.00",,13,9,"27,961.50","114,360.00","126,398.50"
Generated On: 01/04/26 09:00:00,,,,,,
This is a computer generated statement and does not require signature.,,,,,,
